calibration_spec_id,base_task_source_id,task_family,source_edge,window_tag,executable_source_family,env_template_family,track_width_scale,finish_variant,max_steps_scale,track_width,finish_pass_distance,max_steps,contract_violation_count,environment_rollout_scheduled,profile_specific_tuning
m1680-spec-0001::tw2::finish_relaxed::max1.5,m1680-spec-0001,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0002::tw1::finish_original::max1,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0002::tw1::finish_original::max1.5,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0002::tw1::finish_relaxed::max1,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0002::tw1::finish_relaxed::max1.5,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0002::tw1.5::finish_original::max1,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0002::tw1.5::finish_original::max1.5,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0002::tw1.5::finish_relaxed::max1,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0002::tw1.5::finish_relaxed::max1.5,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0002::tw2::finish_original::max1,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,2.0,original,1.0,10.0,2.0,480,0,False,False
m1680-spec-0002::tw2::finish_original::max1.5,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,2.0,original,1.5,10.0,2.0,720,0,False,False
m1680-spec-0002::tw2::finish_relaxed::max1,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,2.0,relaxed,1.0,10.0,1.0,480,0,False,False
m1680-spec-0002::tw2::finish_relaxed::max1.5,m1680-spec-0002,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0003::tw1::finish_original::max1,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0003::tw1::finish_original::max1.5,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0003::tw1::finish_relaxed::max1,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0003::tw1::finish_relaxed::max1.5,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0003::tw1.5::finish_original::max1,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0003::tw1.5::finish_original::max1.5,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0003::tw1.5::finish_relaxed::max1,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0003::tw1.5::finish_relaxed::max1.5,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0003::tw2::finish_original::max1,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,original,1.0,10.0,2.0,480,0,False,False
m1680-spec-0003::tw2::finish_original::max1.5,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,original,1.5,10.0,2.0,720,0,False,False
m1680-spec-0003::tw2::finish_relaxed::max1,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,relaxed,1.0,10.0,1.0,480,0,False,False
m1680-spec-0003::tw2::finish_relaxed::max1.5,m1680-spec-0003,T4,t4_actuator_delay_response|actuator_delay_step,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0004::tw1::finish_original::max1,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0004::tw1::finish_original::max1.5,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0004::tw1::finish_relaxed::max1,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0004::tw1::finish_relaxed::max1.5,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0004::tw1.5::finish_original::max1,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0004::tw1.5::finish_original::max1.5,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0004::tw1.5::finish_relaxed::max1,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0004::tw1.5::finish_relaxed::max1.5,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0004::tw2::finish_original::max1,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,original,1.0,10.0,2.0,480,0,False,False
m1680-spec-0004::tw2::finish_original::max1.5,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,original,1.5,10.0,2.0,720,0,False,False
m1680-spec-0004::tw2::finish_relaxed::max1,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,relaxed,1.0,10.0,1.0,480,0,False,False
m1680-spec-0004::tw2::finish_relaxed::max1.5,m1680-spec-0004,T4,t4_actuator_delay_response|capability_step_up,mapping_window_unspecified,t4_actuator_delay_response,t4_actuator_delay_response,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0005::tw1::finish_original::max1,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0005::tw1::finish_original::max1.5,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0005::tw1::finish_relaxed::max1,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0005::tw1::finish_relaxed::max1.5,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0005::tw1.5::finish_original::max1,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0005::tw1.5::finish_original::max1.5,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0005::tw1.5::finish_relaxed::max1,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0005::tw1.5::finish_relaxed::max1.5,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0005::tw2::finish_original::max1,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,2.0,original,1.0,10.0,2.0,480,0,False,False
m1680-spec-0005::tw2::finish_original::max1.5,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,2.0,original,1.5,10.0,2.0,720,0,False,False
m1680-spec-0005::tw2::finish_relaxed::max1,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,2.0,relaxed,1.0,10.0,1.0,480,0,False,False
m1680-spec-0005::tw2::finish_relaxed::max1.5,m1680-spec-0005,T4,t4_capability_step_temporal|capability_step_down,mapping_window_unspecified,t4_capability_step_temporal,t4_capability_step_temporal,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0006::tw1::finish_original::max1,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0006::tw1::finish_original::max1.5,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0006::tw1::finish_relaxed::max1,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0006::tw1::finish_relaxed::max1.5,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0006::tw1.5::finish_original::max1,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0006::tw1.5::finish_original::max1.5,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0006::tw1.5::finish_relaxed::max1,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0006::tw1.5::finish_relaxed::max1.5,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0006::tw2::finish_original::max1,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,2.0,original,1.0,10.0,2.0,480,0,False,False
m1680-spec-0006::tw2::finish_original::max1.5,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,2.0,original,1.5,10.0,2.0,720,0,False,False
m1680-spec-0006::tw2::finish_relaxed::max1,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,2.0,relaxed,1.0,10.0,1.0,480,0,False,False
m1680-spec-0006::tw2::finish_relaxed::max1.5,m1680-spec-0006,T4,t4_staged_warmup_capability|capability_step_up,mapping_window_unspecified,t4_staged_warmup_capability,t4_staged_warmup_capability,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0007::tw1::finish_original::max1,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0007::tw1::finish_original::max1.5,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0007::tw1::finish_relaxed::max1,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0007::tw1::finish_relaxed::max1.5,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0007::tw1.5::finish_original::max1,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0007::tw1.5::finish_original::max1.5,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0007::tw1.5::finish_relaxed::max1,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0007::tw1.5::finish_relaxed::max1.5,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0007::tw2::finish_original::max1,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,2.0,original,1.0,10.0,2.0,480,0,False,False
m1680-spec-0007::tw2::finish_original::max1.5,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,2.0,original,1.5,10.0,2.0,720,0,False,False
m1680-spec-0007::tw2::finish_relaxed::max1,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,2.0,relaxed,1.0,10.0,1.0,480,0,False,False
m1680-spec-0007::tw2::finish_relaxed::max1.5,m1680-spec-0007,T4,actuator_delay_step|capability_step_up,reveal_plus_4,capability_step_up,t4_capability_step_temporal,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0008::tw1::finish_original::max1,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0008::tw1::finish_original::max1.5,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0008::tw1::finish_relaxed::max1,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0008::tw1::finish_relaxed::max1.5,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0008::tw1.5::finish_original::max1,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0008::tw1.5::finish_original::max1.5,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0008::tw1.5::finish_relaxed::max1,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0008::tw1.5::finish_relaxed::max1.5,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0008::tw2::finish_original::max1,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,2.0,original,1.0,10.0,2.0,480,0,False,False
m1680-spec-0008::tw2::finish_original::max1.5,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,2.0,original,1.5,10.0,2.0,720,0,False,False
m1680-spec-0008::tw2::finish_relaxed::max1,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,2.0,relaxed,1.0,10.0,1.0,480,0,False,False
m1680-spec-0008::tw2::finish_relaxed::max1.5,m1680-spec-0008,T4,actuator_delay_step|t4_capability_step_temporal,mapping_window_unspecified,actuator_delay_step,t4_actuator_delay_response,2.0,relaxed,1.5,10.0,1.0,720,0,False,False
m1680-spec-0009::tw1::finish_original::max1,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,original,1.0,5.0,2.0,480,0,False,False
m1680-spec-0009::tw1::finish_original::max1.5,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,original,1.5,5.0,2.0,720,0,False,False
m1680-spec-0009::tw1::finish_relaxed::max1,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,relaxed,1.0,5.0,1.0,480,0,False,False
m1680-spec-0009::tw1::finish_relaxed::max1.5,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.0,relaxed,1.5,5.0,1.0,720,0,False,False
m1680-spec-0009::tw1.5::finish_original::max1,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,original,1.0,7.5,2.0,480,0,False,False
m1680-spec-0009::tw1.5::finish_original::max1.5,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,original,1.5,7.5,2.0,720,0,False,False
m1680-spec-0009::tw1.5::finish_relaxed::max1,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,relaxed,1.0,7.5,1.0,480,0,False,False
m1680-spec-0009::tw1.5::finish_relaxed::max1.5,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,1.5,relaxed,1.5,7.5,1.0,720,0,False,False
m1680-spec-0009::tw2::finish_original::max1,m1680-spec-0009,T4,capability_step_down|t4_actuator_delay_response,mapping_window_unspecified,capability_step_down,t4_capability_step_temporal,2.0,original,1.0,10.0,2.0,480,0,False,False
